start_time,server_ip,type,ttfb,download_time,get_size,chunk_size,rel_start_time,rel_end_time
1520313058.911326,74.125.159.9,a,0.021152019500732422,1.4419519901275635,594,249630,3.213520050048828,4.655472040176392
1520313059.315767,172.217.11.1,a,0.1208639144897461,3.557121992111206,419,111844,3.6179611682891846,7.175083160400391
1520313060.360065,74.125.159.9,v,0.025259971618652344,1.4615631103515625,663,191401,4.662259101867676,6.123822212219238
1520313062.330472,74.125.159.9,v,0.012541055679321289,0.5471689701080322,665,212366,6.632666110992432,7.179835081100464
1520313063.142399,74.125.159.9,v,0.0018308162689208984,0.2878990173339844,679,219976,7.444593191146851,7.732492208480835
1520313063.699089,74.125.159.9,v,0.016301870346069336,1.5144538879394531,666,464149,8.001283168792725,9.515737056732178
1520313063.984615,172.217.11.3,a,0.006914854049682617,0.9715390205383301,424,147668,8.286809206008911,9.258348226547241
1520313065.223244,74.125.159.9,a,0.038294076919555664,0.7721850872039795,618,207634,9.525438070297241,10.29762315750122
1520313066.025049,74.125.159.9,v,0.09340310096740723,3.4273109436035156,667,1537719,10.327243089675903,13.754554033279419
1520313069.454901,74.125.159.9,a,0.05020904541015625,0.5244860649108887,616,310834,13.757095098495483,14.281581163406372
1520313071.086655,74.125.159.9,v,0.02841806411743164,3.0736889839172363,668,1978036,15.388849020004272,18.46253800392151
1520313077.307551,74.125.159.9,a,0.027239084243774414,0.8819642066955566,603,450804,21.609745025634766,22.491709232330322
1520313082.311174,74.125.159.9,v,0.026678085327148438,1.6433050632476807,685,1960124,26.613368034362793,28.256673097610474
1520313092.310863,74.125.159.9,a,0.033917903900146484,0.47704195976257324,604,533000,36.613057136535645,37.09009909629822
1520313092.799205,74.125.159.9,v,0.03266787528991699,1.297076940536499,687,1883063,37.101399183273315,38.398476123809814
1520313103.309817,74.125.159.9,v,0.05161595344543457,2.83939790725708,668,2039028,47.612011194229126,50.451409101486206
1520313112.561076,74.125.159.9,a,0.02771306037902832,0.863746166229248,604,450790,56.86327004432678,57.72701621055603
1520313113.433012,74.125.159.9,v,0.027215957641601562,1.7487549781799316,669,1899668,57.73520612716675,59.48396110534668
1520313124.810031,74.125.159.9,v,0.026229143142700195,2.9204959869384766,686,1896983,69.11222505569458,72.03272104263306
1520313127.740994,74.125.159.9,a,0.027034997940063477,0.41266798973083496,620,443295,72.04318809509277,72.45585608482361
1520313134.562423,74.125.159.9,v,0.043951988220214844,3.0535569190979004,669,1966325,78.8646171092987,81.9181740283966
1520313142.314494,74.125.159.9,a,0.023966073989868164,0.7218921184539795,623,471653,86.61668801307678,87.33858013153076
1520313148.809062,74.125.159.9,v,0.0265500545501709,2.8348770141601562,669,1847938,93.11125612258911,95.94613313674927
1520313157.809252,74.125.159.9,a,0.027122020721435547,0.8004438877105713,634,585792,102.11144614219666,102.91189002990723
