start_time,type,ttfb,download_time,chunk_size,rel_start_time,rel_end_time
1516738742.655203,a,0.04527997970581055,1.6137619018554688,552327,0.007432222366333008,1.6664741039276123
1516738744.377967,a,0.0854330062866211,2.0416362285614014,106481,1.7301959991455078,3.8572652339935303
1516738746.508449,v,0.012395858764648438,0.3512749671936035,109638,3.860678195953369,4.224349021911621
1516738746.873918,a,0.061244964599609375,1.2844579219818115,564971,4.226147174835205,5.571850061416626
1516738748.221699,v,0.0008280277252197266,0.3291809558868408,384432,5.573928117752075,5.903937101364136
1516738748.567663,v,0.22612595558166504,0.05924105644226074,95582,5.919892072677612,6.205259084701538
1516738748.86137,v,0.0005559921264648438,0.4359128475189209,615198,6.21359920501709,6.650068044662476
1516738749.310627,v,0.02068805694580078,0.22680902481079102,127483,6.662856101989746,6.910353183746338
1516738749.570114,v,0.027486085891723633,0.09145593643188477,88705,6.922343015670776,7.041285037994385
1516738749.692165,a,0.0435791015625,2.0586249828338623,1920180,7.044394016265869,9.146598100662231
1516738751.80852,v,0.10589385032653809,0.5560770034790039,293622,9.160749197006226,9.822720050811768
1516738753.86552,v,0.28800296783447266,8.970396995544434,2139095,11.217749118804932,20.476149082183838
1516738763.127886,v,0.009166955947875977,0.5921280384063721,458502,20.480115175247192,21.08141016960144
1516738765.211107,a,4.631550073623657,5.341684818267822,487232,22.56333613395691,32.53657102584839
1516738775.213342,a,0.011656999588012695,6.786703109741211,1479360,32.56557106971741,39.36393117904663
1516738782.029833,v,0.07033801078796387,2.0272538661956787,312949,39.38206219673157,41.47965407371521
1516738784.207095,a,0.2949981689453125,4.538815021514893,260544,41.55932402610779,46.39313721656799
1516738789.048652,v,0.0014660358428955078,8.41726803779602,121833,46.40088105201721,54.81961512565613
1516738799.09586,v,12.304992914199829,14.139759063720703,90361,56.44808912277222,82.89284110069275
1516738825.57264,v,0.04001307487487793,9.070426940917969,96808,82.92486906051636,92.0353090763092
1516738834.691745,a,0.018591880798339844,3.008409023284912,278208,92.04397416114807,95.07097506523132
1516738837.764984,a,0.06051206588745117,6.2554850578308105,369099,95.11721301078796,101.43321013450623
1516738844.126303,v,0.03543400764465332,1.0424630641937256,287854,101.47853207588196,102.55642914772034
1516738845.206224,v,0.01394796371459961,5.176295042037964,1623616,102.55845308303833,107.7486960887909
1516738850.452003,v,0.05684304237365723,0.8416929244995117,141246,107.80423212051392,108.70276808738708
1516738851.353435,v,0.00015497207641601562,0.5904550552368164,188416,108.70566415786743,109.29627418518066
1516738851.945715,v,0.003991127014160156,0.8940160274505615,171951,109.29794406890869,110.19595122337341
1516738852.844754,v,0.014199018478393555,6.961354970932007,1881834,110.19698309898376,117.17253708839417
1516738859.833703,v,0.039407968521118164,2.765317916870117,304184,117.18593215942383,119.99065804481506
1516738862.647677,v,0.00015997886657714844,1.5381271839141846,535966,119.99990606307983,121.5381932258606
1516738864.205045,a,0.01842212677001953,5.674309968948364,1605805,121.55727410316467,127.25000619888306
1516738869.949259,a,0.24649786949157715,3.16259503364563,603520,127.30148816108704,130.71058106422424
1516738873.361911,v,0.0042819976806640625,1.5623788833618164,379116,130.71414017677307,132.28080105781555
1516738875.206717,a,0.3467118740081787,16.49601101875305,1203004,132.5589461326599,149.40166902542114
1516738892.247305,a,0.09780406951904297,27.56598210334778,104512,149.599534034729,177.26332020759583
1516738922.810011,a,7.780752182006836,0.7524299621582031,187457,180.16224002838135,188.6954221725464
1516738931.343372,a,0.003802776336669922,3.0545270442962646,237132,188.6956012248993,191.75393104553223
1516738934.407454,v,0.05790305137634277,7.120611906051636,1601128,191.75968313217163,198.9381980895996
1516738941.596171,v,0.0046541690826416016,2.0127458572387695,378854,198.94840002059937,200.96580004692078
1516738943.619334,v,0.010235071182250977,0.5123569965362549,187028,200.97156310081482,201.49415516853333
1516738944.203316,a,0.02647709846496582,0.5060088634490967,90370,201.55554509162903,202.0880310535431
1516738944.738924,a,0.08709192276000977,2.3624300956726074,531196,202.09115314483643,204.54067516326904
1516738947.197204,a,0.0169677734375,5.943300008773804,1240381,204.54943323135376,210.50970101356506
1516738953.158508,v,0.0003440380096435547,0.7771627902984619,432768,210.51073718070984,211.28824400901794
1516738953.943949,v,0.0019779205322265625,1.2593891620635986,626580,211.2961781024933,212.5575451850891
1516738955.206161,a,0.0037469863891601562,2.7962839603424072,1020096,212.55839014053345,215.35842108726501
1516738958.058389,v,0.047660112380981445,2.06430983543396,626314,215.41061806678772,217.52258801460266
1516738960.170751,v,0.00249481201171875,5.630510091781616,2012224,217.52298021316528,223.15598511695862
1516738965.808053,v,0.00244903564453125,1.6845438480377197,626020,223.16028213500977,224.84727501869202
1516738967.495777,v,0.016291141510009766,6.2120890617370605,1897237,224.84800601005554,231.0763862133026
1516738973.730452,v,0.0002639293670654297,10.471920013427734,1620672,231.08268117904663,241.55486512184143
1516738984.202797,a,0.003359079360961914,0.9667050838470459,154560,241.55502605438232,242.52509021759033
1516738985.206882,a,0.155303955078125,1.0776140689849854,307648,242.55911111831665,243.79202914237976
1516738986.441292,v,0.004483938217163086,3.5958240032196045,611301,243.79352116584778,247.39382910728455
1516738990.063995,v,0.004572153091430664,4.114598035812378,243959,247.41622400283813,251.53539419174194
1516738994.194892,a,0.15805912017822266,5.665428876876831,191105,251.54712104797363,257.3706090450287
1516739002.667539,v,16.010935068130493,26.488137006759644,188051,260.01976799964905,302.5188400745392
1516739045.202864,v,0.008949995040893555,1.7366840839385986,95680,302.55509305000305,304.30072712898254
