start_time,server_ip,type,ttfb,download_time,get_size,chunk_size,rel_start_time,rel_end_time
1516208887.77837,172.217.10.97,a,0.1026620864868164,14.326276063919067,453,143372,1.7958757877349854,16.122151851654053
1516208887.883347,173.194.184.139,a,0.0228879451751709,3.1051199436187744,1247,564594,1.900852918624878,5.005972862243652
1516208891.158829,173.194.184.139,a,0.00031495094299316406,0.3120269775390625,1255,284685,5.176334857940674,5.488361835479736
1516208891.471111,173.194.184.139,v,0.0010528564453125,0.22633600234985352,1363,309178,5.488616943359375,5.7149529457092285
1516208891.697607,173.194.184.139,a,0.019481897354125977,1.0729179382324219,1256,1075220,5.715112924575806,6.7880308628082275
1516208892.771054,173.194.184.139,v,5.0067901611328125e-05,1.520617961883545,1363,1869008,6.788559913635254,8.309177875518799
1516208894.30426,173.194.184.139,a,0.1809830665588379,0.3068850040435791,1257,153912,8.321765899658203,8.628650903701782
1516208894.611165,173.194.184.139,v,0.0008339881896972656,1.6637330055236816,1364,2192868,8.628670930862427,10.292403936386108
1516208902.5835,173.194.184.139,a,0.02222919464111328,0.0978701114654541,1257,88572,16.601005792617798,16.698875904083252
1516208902.682572,173.194.184.139,v,0.0005080699920654297,2.4044911861419678,1365,2245925,16.700077772140503,19.10456895828247
1516208905.087085,173.194.184.139,v,0.0006968975067138672,2.2095890045166016,1366,2150306,19.104590892791748,21.31417989730835
1516208907.299775,173.194.184.139,a,0.002679109573364258,0.5070621967315674,1259,516810,21.317280769348145,21.824342966079712
1516208907.807338,173.194.184.139,v,0.00521397590637207,2.10863995552063,1367,2158870,21.824843883514404,23.933483839035034
1516208913.58742,173.194.184.139,v,0.017966032028198242,2.807466983795166,1367,2095560,27.604925870895386,30.41239285469055
1516208919.331972,173.194.184.139,v,0.026827096939086914,1.5246062278747559,1367,1994968,33.349477767944336,34.87408399581909
1516208922.880854,173.194.184.139,a,0.1574711799621582,2.212766170501709,1260,452129,36.89835977554321,39.11112594604492
1516208925.095997,173.194.184.139,v,0.014019966125488281,1.194093942642212,1367,1324023,39.113502979278564,40.307596921920776
1516208928.384668,173.194.184.139,v,0.03294491767883301,1.1053059101104736,1367,1808792,42.40217399597168,43.50747990608215
1516208933.83707,173.194.184.139,v,0.014864921569824219,1.265571117401123,1367,1946421,47.854575872421265,49.12014698982239
1516208937.340512,173.194.184.139,a,0.029162883758544922,0.4435880184173584,1260,455676,51.358017921447754,51.80160593986511
1516208939.838038,173.194.184.139,v,0.011276960372924805,1.7359731197357178,1367,1987788,53.85554385185242,55.591516971588135
1516208943.835213,173.194.184.139,v,0.012614965438842773,1.3100359439849854,1367,1828375,57.85271883010864,59.16275477409363
1516208949.723415,173.194.184.139,v,0.02228999137878418,2.524975061416626,1367,1672470,63.74092078208923,66.26589584350586
1516208952.313148,173.194.184.139,a,0.006264925003051758,0.30299806594848633,1260,461712,66.33065390586853,66.63365197181702
1516208954.832924,173.194.184.139,v,0.01842808723449707,2.1154091358184814,1367,1979794,68.85042977333069,70.96583890914917
1516208962.581645,173.194.184.139,v,0.027469873428344727,1.3209099769592285,1367,1907254,76.59915089607239,77.92006087303162
1516208967.33873,173.194.184.139,v,0.012341976165771484,1.317375898361206,1367,1605912,81.35623598098755,82.67361187934875
1516208969.833822,173.194.184.139,a,0.02900409698486328,0.6077499389648438,1260,472257,83.85132789611816,84.45907783508301
1516208977.507407,173.194.184.139,v,0.021147966384887695,1.4204039573669434,1367,1386638,91.52491283416748,92.94531679153442
1516208988.090948,173.194.184.139,v,0.017117977142333984,1.846801996231079,1367,1882511,102.10845398902893,103.95525598526001
1516208998.083515,173.194.184.139,v,0.02219104766845703,1.0115041732788086,1367,1383756,112.10102081298828,113.11252498626709
1516209000.900736,173.194.184.139,a,0.002713918685913086,1.8925278186798096,1260,448178,114.91824197769165,116.81076979637146
1516209009.333417,173.194.184.139,v,0.012181997299194336,1.4107279777526855,1367,1583770,123.35092282295227,124.76165080070496
1516209019.589044,173.194.184.139,v,0.013921976089477539,1.643988847732544,1367,1633500,133.60654997825623,135.25053882598877
1516209025.334631,173.194.184.139,a,0.015020132064819336,0.3313479423522949,1260,446753,139.35213685035706,139.68348479270935
1516209029.082512,173.194.184.139,v,0.01597309112548828,2.21695613861084,1367,2100998,143.100017786026,145.31697392463684
1516209044.081483,173.194.184.139,v,0.014077186584472656,1.9306890964508057,1367,1724269,158.0989887714386,160.0296778678894
1516209054.082315,173.194.184.139,v,0.012063026428222656,1.5626730918884277,1367,1602034,168.09982085227966,169.6624939441681
1516209056.599632,173.194.184.139,a,0.012772083282470703,0.44910407066345215,1260,468188,170.61713790893555,171.066241979599
1516209065.332658,173.194.184.139,v,0.017719030380249023,1.569119930267334,1367,1461472,179.350163936615,180.91928386688232
1516209074.836824,173.194.184.139,v,0.012782096862792969,1.4494810104370117,1367,1783056,188.85432982444763,190.30381083488464
1516209085.585406,173.194.184.139,v,0.012765884399414062,2.1662378311157227,1367,1965712,199.60291194915771,201.76914978027344
1516209087.840443,173.194.184.139,a,0.026813030242919922,0.3696010112762451,1260,459584,201.85794878005981,202.22754979133606
1516209095.585524,173.194.184.139,v,0.01394796371459961,1.6903679370880127,1367,1616076,209.60302996635437,211.29339790344238
1516209105.833591,173.194.184.139,v,0.012948036193847656,1.8914549350738525,1367,2001715,219.85109686851501,221.74255180358887
1516209113.335278,173.194.184.139,a,0.012898921966552734,0.39625000953674316,1260,468500,227.35278391838074,227.74903392791748
1516209121.828752,173.194.184.139,v,0.012536048889160156,1.9702630043029785,1367,1588488,235.84625792503357,237.81652092933655
